House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
3,Bryan Curve,Jade,Johnston,5,Daughter,NA,Female,Student,None,NA
4,Bryan Curve,Carolyn,Davies-Wheeler,31,Head,Married,Female,"Chemist, analytical",None,Quaker
4,Bryan Curve,Ricky,Davies-Wheeler,31,Husband,Married,Male,Editorial assistant,None,Quaker
4,Bryan Curve,Hugh,Davies-Wheeler,10,Son,NA,Male,Student,None,NA
5,Bryan Curve,Joseph,Begum,28,Head,Single,Male,Nature conservation officer,None,Methodist
6,Bryan Curve,Diane,Clark,44,Head,Widowed,Female,Unemployed,None,None
7,Bryan Curve,Joan,Smith,41,Head,Divorced,Female,"Nurse, mental health",None,None
7,Bryan Curve,Deborah,Smith,13,Daughter,NA,Female,Student,None,NA
8,Bryan Curve,Bethany,Phillips,73,Head,Single,Female,Retired Holiday representative,None,Christian
9,Bryan Curve,Natalie,Barker,63,Head,Widowed,Female,Environmental education officer,None,Methodist
10,Bryan Curve,Irene,Henderson,32,Head,Married,Female,Production engineer,None,None
10,Bryan Curve,Conor,Henderson,43,Husband,Married,Male,"Teacher, early years/pre",None,None
10,Bryan Curve,Mitchell,Henderson,11,Son,NA,Male,Student,None,NA
11,Bryan Curve,Megan,Smith,48,Head,Single,Female,Fisheries officer,None,Christian
11,Bryan Curve,Elliot,Shah,47,Partner,Single,Male,Museum education officer,None,None
11,Bryan Curve,Dawn,Smith,17,Daughter,NA,Female,Student,None,NA
12,Bryan Curve,Anna,Parkinson,42,Head,Divorced,Female,Geophysical data processor,None,Catholic
12,Bryan Curve,Leon,Parkinson,5,Son,NA,Male,Student,None,NA
12,Bryan Curve,Darren,Parkinson,2,Son,NA,Male,Child,None,NA
13,Bryan Curve,Georgina,Miller,101,Head,Widowed,Female,"Retired Physicist, medical",None,Christian
14,Bryan Curve,Gregory,Ward,89,Head,Widowed,Male,"Retired Surveyor, rural practice",None,None
15,Bryan Curve,Eileen,Butler,57,Head,Single,Female,Unemployed,None,Christian
15,Bryan Curve,Gerard,Butler,26,Son,Divorced,Male,Operational researcher,None,None
15,Bryan Curve,Joyce,Butler,23,Daughter,Single,Female,Consulting civil engineer,None,Christian
16,Bryan Curve,Naomi,Davies,55,Head,Divorced,Female,Environmental education officer,None,Christian
16,Bryan Curve,Beth,Foster,23,None,Single,Female,"Teacher, special educational needs",None,None
17,Bryan Curve,Joshua,Robinson,71,Head,Widowed,Male,Retired Audiological scientist,None,Christian
18,Bryan Curve,Kevin,McKenzie,26,Head,Married,Male,Comptroller,None,None
18,Bryan Curve,Mandy,McKenzie,24,Wife,Married,Female,"Designer, television/film set",None,None
19,Bryan Curve,Rita,Parker,42,Head,Divorced,Female,Insurance underwriter,None,Catholic
20,Bryan Curve,Marian,Carr,24,Head,Single,Female,Legal secretary,None,Christian
21,Bryan Curve,Allan,Robinson,81,Head,Widowed,Male,"Retired Engineer, electronics",None,Muslim
22,Bryan Curve,Kyle,Coleman,33,Head,Single,Male,Race relations officer,None,None
23,Bryan Curve,Joan,Jones,71,Head,Divorced,Female,Retired TEFL teacher,None,None
24,Bryan Curve,Jay,King,57,Head,Single,Male,Tax inspector,None,Christian
24,Bryan Curve,Matthew,Richards,14,Grandson,NA,Male,Student,None,NA
25,Bryan Curve,Jeremy,Forster,53,Head,Single,Male,Politician's assistant,None,Christian
26,Bryan Curve,Linda,Davies,86,Head,Divorced,Female,Retired Armed forces logistics/support/administrative officer,None,None
27,Bryan Curve,Leanne,Lucas,51,Head,Single,Female,"Therapist, horticultural",None,Christian
28,Bryan Curve,Pamela,Robinson,79,Head,Widowed,Female,Retired Academic librarian,None,None
29,Bryan Curve,Fiona,Finch,79,Head,Widowed,Female,Retired Maintenance engineer,None,Christian
30,Bryan Curve,Janice,Smith,76,Head,Married,Female,Retired Holiday representative,None,Christian
30,Bryan Curve,John,Smith,74,Husband,Married,Male,Retired Broadcast engineer,None,Christian
1,Atlantis Avenue,Olivia,Cooper,52,Head,Married,Female,"Engineer, civil (contracting)",None,None
1,Atlantis Avenue,Robert,Cooper,54,Husband,Married,Male,Electronics engineer,None,None
1,Atlantis Avenue,Karl,Cooper,25,Son,Single,Male,Health visitor,None,None
1,Atlantis Avenue,Nigel,Cooper,24,Son,Single,Male,Petroleum engineer,None,None
1,Atlantis Avenue,Marilyn,Cooper,10,Daughter,NA,Female,Student,None,NA
2,Atlantis Avenue,Diana,Griffiths,74,Head,Married,Female,Retired Physiological scientist,None,Jewish
2,Atlantis Avenue,Simon,Griffiths-Ryan,76,Husband,Married,Male,"Retired Engineer, maintenance",None,None
2,Atlantis Avenue,Jodie,Griffiths-Ryan,48,Daughter,Single,Female,Special educational needs teacher,None,Jewish
2,Atlantis Avenue,Marilyn,Griffiths-Ryan,47,Daughter,Single,Female,Minerals surveyor,None,None
2,Atlantis Avenue,Stanley,Griffiths-Ryan,45,Son,Divorced,Male,Publishing copy,None,Jewish
3,Atlantis Avenue,Ellie,Morgan,28,Head,Married,Female,Dramatherapist,None,Christian
3,Atlantis Avenue,John,Morgan,30,Husband,Married,Male,Medical physicist,None,Christian
3,Atlantis Avenue,Sandra,Morgan,7,Daughter,NA,Female,Student,None,NA
3,Atlantis Avenue,Jennifer,Morgan,7,Daughter,NA,Female,Student,None,NA
4,Atlantis Avenue,Josephine,Fitzgerald,65,Head,Single,Female,Systems developer,None,Christian
4,Atlantis Avenue,Jacob,Ahmed,66,Partner,Single,Male,Building services engineer,None,Christian
4,Atlantis Avenue,Aaron,Fitzgerald,31,Son,Single,Male,"Editor, magazine features",None,None
4,Atlantis Avenue,Kirsty,Fitzgerald,28,Daughter,Divorced,Female,Dispensing optician,None,Christian
4,Atlantis Avenue,Douglas,Fitzgerald,26,Son,Single,Male,"Designer, textile",None,None
4,Atlantis Avenue,Danielle,Fitzgerald,4,Daughter,NA,Female,Child,None,NA
5,Atlantis Avenue,Amanda,Davies,38,Head,Married,Female,Careers adviser,None,None
5,Atlantis Avenue,Stanley,Davies,43,Husband,Married,Male,Fish farm manager,None,None
5,Atlantis Avenue,Terence,Davies,3,Son,NA,Male,Child,None,NA
5,Atlantis Avenue,Leanne,Davies,1,Daughter,NA,Female,Child,None,NA
6,Atlantis Avenue,Charlie,Dunn,38,Head,Single,Male,"Teacher, English as a foreign language",None,Christian
6,Atlantis Avenue,Russell,Rogers,24,None,Divorced,Male,Heritage manager,None,Muslim
6,Atlantis Avenue,Nicola,Clarke,27,None,Single,Female,Minerals surveyor,None,Catholic
7,Atlantis Avenue,Katie,Dennis,78,Head,Divorced,Female,Retired Television floor manager,None,None
8,Atlantis Avenue,Jacqueline,Thomas,41,Head,Married,Female,"Merchandiser, retail",None,Christian
8,Atlantis Avenue,Peter,Thomas,43,Husband,Married,Male,Human resources officer,None,Christian
8,Atlantis Avenue,Bethany,Thomas,23,Daughter,Divorced,Female,Broadcast engineer,None,Christian
8,Atlantis Avenue,Kathryn,Coleman,12,Daughter,NA,Female,Student,None,NA
9,Atlantis Avenue,Stuart,Holmes,71,Head,Married,Male,Retired Graphic designer,None,Christian
9,Atlantis Avenue,Jayne,Holmes,69,Wife,Married,Female,Retired Software engineer,None,Christian
10,Atlantis Avenue,Sophie,Lewis,49,Head,Married,Female,Unemployed,None,None
10,Atlantis Avenue,Kyle,Lewis,51,Husband,Married,Male,Operational researcher,None,None
10,Atlantis Avenue,Kevin,Lewis,22,Son,Single,Male,University Student,None,None
10,Atlantis Avenue,Marcus,Lewis,10,Son,NA,Male,Student,None,NA
11,Atlantis Avenue,Kimberley,Fowler,31,Head,Single,Female,"Psychologist, counselling",None,None
12,Atlantis Avenue,Sharon,Roberts,64,Head,Married,Female,Community pharmacist,None,Catholic
12,Atlantis Avenue,Stanley,Roberts,61,Husband,Married,Male,Unemployed,None,Catholic
12,Atlantis Avenue,Keith,Roberts,31,Son,Single,Male,Private music teacher,None,Catholic
12,Atlantis Avenue,Alexandra,Roberts,29,Daughter,Single,Female,Public relations account executive,None,None
12,Atlantis Avenue,Conor,Roberts,24,Son,Single,Male,Radio producer,None,Catholic
13,Atlantis Avenue,Anne,Anderson,41,Head,Single,Female,Unemployed,None,Christian
13,Atlantis Avenue,Russell,Anderson,16,Son,NA,Male,Student,None,NA
14,Atlantis Avenue,Lindsey,Walker,48,Head,Single,Female,Unemployed,None,Methodist
14,Atlantis Avenue,Tom,Sanders,48,Partner,Single,Male,Medical technical officer,None,Methodist
14,Atlantis Avenue,Antony,Walker,14,Son,NA,Male,Student,None,NA
15,Atlantis Avenue,Rachel,Wood,23,Head,Married,Female,Operational researcher,None,None
15,Atlantis Avenue,Joel,Wood,26,Husband,Married,Male,Armed forces training and education officer,None,None
16,Atlantis Avenue,Paul,Patterson,72,Head,Single,Male,Unemployed,None,Christian
16,Atlantis Avenue,Cheryl,Patterson,36,Daughter,Single,Female,Industrial buyer,None,Christian
16,Atlantis Avenue,Diane,Patterson,32,Daughter,Single,Female,"Teacher, secondary school",None,Christian
17,Atlantis Avenue,Maureen,Hill,61.66337481043546,Head,Single,Female,"Journalist, magazine",None,Methodist
17,Atlantis Avenue,Roger,Hill,10.0,Son,NA,Male,Student,None,NA
17,Atlantis Avenue,Valerie,Hill,7.0,Daughter,NA,Female,Student,None,NA
17,Atlantis Avenue,Louis,Hill,3.0,Son,NA,Male,Child,None,NA
18,Atlantis Avenue,Alexandra,Burton,60,Head,Married,Female,Homeopath,None,Christian
18,Atlantis Avenue,Martyn,Holland,67,Husband,Married,Male,Unemployed,None,None
19,Atlantis Avenue,Nigel,Taylor,45,Head,Single,Male,"Engineer, mining",None,Catholic
19,Atlantis Avenue,Molly,Parker,46,Partner,Single,Female,Video editor,None,Catholic
20,Atlantis Avenue,Toby,Reeves,58,Head,Single,Male,Trading standards officer,None,None
20,Atlantis Avenue,Janice,Wright,58,Partner,Single,Female,Stage manager,None,None
21,Atlantis Avenue,Christine,Charlton,62,Head,Divorced,Female,Unemployed,None,None
21,Atlantis Avenue,Liam,Wright-Charlton,32,Adopted Son,Single,Male,Equality and diversity officer,None,None
21,Atlantis Avenue,Teresa,Wright-Charlton,30,Daughter,Single,Female,Market researcher,None,None
21,Atlantis Avenue,Vanessa,Wright-Charlton,26,Daughter,Single,Female,Geochemist,None,None
21,Atlantis Avenue,Stuart,Wright-Charlton,25,Son,Divorced,Male,Dietitian,None,None
22,Atlantis Avenue,Jonathan,Kennedy,29,Head,Single,Male,"Engineer, site",None,None
23,Atlantis Avenue,Jamie,White,81,Head,Married,Male,Retired Financial planner,None,Christian
23,Atlantis Avenue,Clare,White,77,Wife,Married,Female,Retired Television production assistant,None,Christian
24,Atlantis Avenue,Mohammed,Dawson,83,Head,Widowed,Male,Retired Restaurant manager,None,Christian
25,Atlantis Avenue,Paula,Webb,54,Head,Divorced,Female,Sales executive,None,Christian
25,Atlantis Avenue,Josh,Webb,22,Son,Single,Male,University Student,None,Christian
25,Atlantis Avenue,Cheryl,Webb,18,Daughter,Single,Female,Student,None,None
25,Atlantis Avenue,Marie,Webb,15,Daughter,NA,Female,Student,None,NA
26,Atlantis Avenue,Ann,Parkin,42,Head,Divorced,Female,Special educational needs teacher,None,Catholic
26,Atlantis Avenue,Jay,Parkin,5,Grandson,NA,Male,Student,None,NA
27,Atlantis Avenue,Angela,Holmes-Carter,35,Head,Married,Female,Theatre stage manager,None,Catholic
27,Atlantis Avenue,Benjamin,Holmes-Carter,41,Husband,Married,Male,"Conservation officer, nature",None,Catholic
28,Atlantis Avenue,Marian,Jarvis,68,Head,Married,Female,Retired Commissioning editor,None,None
28,Atlantis Avenue,Mathew,Jarvis,71,Husband,Married,Male,Retired Phytotherapist,None,None
29,Atlantis Avenue,Natalie,Davies,35,Head,Married,Female,"Engineer, technical sales",None,Sikh
29,Atlantis Avenue,Lawrence,Davies,36,Husband,Married,Male,Plant breeder/geneticist,None,Sikh
29,Atlantis Avenue,Angela,Davies,2,Daughter,NA,Female,Child,None,NA
29,Atlantis Avenue,Jamie,Davies,2,Son,NA,Male,Child,None,NA
29,Atlantis Avenue,Wayne,Robertson,29,Lodger,Single,Male,Unemployed,None,Methodist
30,Atlantis Avenue,Elizabeth,Baker,43,Head,Married,Female,Field trials officer,None,Methodist
30,Atlantis Avenue,Samuel,Baker,46,Husband,Married,Male,Legal executive,None,Methodist
30,Atlantis Avenue,Maureen,Baker,17,Daughter,NA,Female,Student,None,NA
30,Atlantis Avenue,Lewis,Baker,16,Son,NA,Male,Student,None,NA
30,Atlantis Avenue,Anthony,Baker,13,Son,NA,Male,Student,None,NA
31,Atlantis Avenue,Sara,Hughes,27,Head,Married,Female,Chief Financial Officer,None,None
31,Atlantis Avenue,James,Hughes,29,Husband,Married,Male,Leisure centre manager,None,None
32,Atlantis Avenue,Melanie,Clarke,35,Head,Married,Female,Amenity horticulturist,None,None
32,Atlantis Avenue,Gareth,Clarke,35,Husband,Married,Male,Recruitment consultant,None,None
32,Atlantis Avenue,Cameron,Gibbons,61,Lodger,Single,Male,Logistics and distribution manager,None,Methodist
33,Atlantis Avenue,Brandon,Marsden,68,Head,Widowed,Male,"Retired Programmer, systems",None,Methodist
34,Atlantis Avenue,Tracy,Allen,23,Head,Married,Female,"Investment banker, corporate",None,Muslim
34,Atlantis Avenue,Glenn,Clarke,25,Husband,Married,Male,Unemployed,None,Muslim
35,Atlantis Avenue,Jason,Glover,49,Head,Married,Male,"Scientist, forensic",None,Catholic
35,Atlantis Avenue,Wendy,Glover,47,Wife,Married,Female,"Teacher, secondary school",None,None
36,Atlantis Avenue,Chelsea,Newman,27,Head,Single,Female,Unemployed,None,Methodist
36,Atlantis Avenue,Alice,Newman,2,Daughter,NA,Female,Child,None,NA
37,Atlantis Avenue,Jessica,Shah,68,Head,Married,Female,"Retired Surveyor, rural practice",None,Christian
37,Atlantis Avenue,Max,Shah,68,Husband,Married,Male,Retired Site engineer,None,Christian
37,Atlantis Avenue,Ryan,Shah,41,Son,Single,Male,Unemployed,None,Christian
38,Atlantis Avenue,Yvonne,Jones,21,Head,Single,Female,University Student,None,Sikh
38,Atlantis Avenue,Roy,Davis,36,None,Single,Male,Stage manager,None,Methodist
39,Atlantis Avenue,Katie,Atkinson,57,Head,Married,Female,Animal nutritionist,None,Christian
39,Atlantis Avenue,Gavin,Atkinson,59,Husband,Married,Male,"Scientist, research (life sciences)",None,None
40,Atlantis Avenue,Stanley,Poole,44,Head,Single,Male,"Production assistant, radio",None,Catholic
40,Atlantis Avenue,Vanessa,Taylor,54,None,Single,Female,Equality and diversity officer,None,Christian
40,Atlantis Avenue,Heather,Smith,59,None,Single,Female,Advertising account planner,None,Christian
40,Atlantis Avenue,Lindsey,Clark,54,None,Single,Female,IT consultant,None,None
40,Atlantis Avenue,Elliott,Bolton,58,None,Single,Male,Dealer,None,Methodist
41,Atlantis Avenue,Paul,Patel,32,Head,Married,Male,Teaching laboratory technician,None,Muslim
41,Atlantis Avenue,Beth,Patel,31,Wife,Married,Female,Communications engineer,None,Muslim
42,Atlantis Avenue,Laura,Jones,79,Head,Married,Female,Retired Immigration officer,None,Christian
42,Atlantis Avenue,Christopher,Jones,81,Husband,Married,Male,"Retired Scientist, biomedical",None,Christian
43,Atlantis Avenue,Nicola,Wilson,25,Head,Married,Female,Ophthalmologist,None,None
43,Atlantis Avenue,Mathew,Wilson,33,Husband,Married,Male,Naval architect,None,None
44,Atlantis Avenue,Geoffrey,Hunt,36,Head,Single,Male,Public house manager,None,Methodist
44,Atlantis Avenue,Frances,Wilson,31,Partner,Single,Female,"Restaurant manager, fast food",None,None
45,Atlantis Avenue,Amber,Garner,31,Head,Divorced,Female,Unemployed,None,Methodist
45,Atlantis Avenue,Ross,Garner,6,Son,NA,Male,Student,None,NA
45,Atlantis Avenue,Patricia,Garner,3,Daughter,NA,Female,Child,None,NA
46,Atlantis Avenue,Elizabeth,Burns,74,Head,Widowed,Female,Unemployed,None,Christian
46,Atlantis Avenue,Lisa,Burns,45,Daughter,Divorced,Female,English as a foreign language teacher,None,None
47,Atlantis Avenue,Douglas,Norris,35,Head,Single,Male,"Scientist, research (medical)",None,None
48,Atlantis Avenue,Jason,Richards,22,Head,Single,Male,University Student,None,None
48,Atlantis Avenue,Suzanne,Harris,19,Partner,Single,Female,University Student,None,None
49,Atlantis Avenue,Geraldine,Mahmood,63,Head,Married,Female,Podiatrist,None,Jewish
49,Atlantis Avenue,Charlie,Mahmood,63,Husband,Married,Male,Unemployed,None,Jewish
49,Atlantis Avenue,Kieran,Mahmood,30,Son,Single,Male,Learning mentor,None,None
1,Salisbury Lane,Pamela,Matthews,49,Head,Divorced,Female,Unemployed,None,Catholic
1,Salisbury Lane,Natasha,Matthews,12,Daughter,NA,Female,Student,None,NA
1,Salisbury Lane,Norman,Matthews,11,Son,NA,Male,Student,None,NA
1,Salisbury Lane,Owen,Matthews,11,Son,NA,Male,Student,None,NA
1,Salisbury Lane,Joe,Matthews,8,Son,NA,Male,Student,None,NA
2,Salisbury Lane,Louise,Smith,42,Head,Married,Female,Customer service manager,None,Catholic
2,Salisbury Lane,Tom,Smith,44,Husband,Married,Male,"Pharmacist, community",None,Catholic
2,Salisbury Lane,Brett,Smith,22,Son,Divorced,Male,University Student,None,None
2,Salisbury Lane,Olivia,Hargreaves,18,Daughter,Divorced,Female,Student,None,Catholic
2,Salisbury Lane,Elliot,Hargreaves,11,Son,NA,Male,Student,None,NA
3,Salisbury Lane,Chelsea,Hartley,39,Head,Married,Female,Unemployed,None,Methodist
3,Salisbury Lane,Gerard,Hartley,38,Husband,Married,Male,Educational psychologist,None,Methodist
3,Salisbury Lane,Kim,Wright,33,Visitor,Single,Female,Media planner,None,None
3,Salisbury Lane,Tony,Bryant,50,Sibling,Single,Male,Unemployed,Blind,None
4,Salisbury Lane,Carol,Shaw,39,Head,Single,Female,Illustrator,None,Catholic
4,Salisbury Lane,Phillip,Shaw,7,Son,NA,Male,Student,None,NA
4,Salisbury Lane,Olivia,Shaw,5,Daughter,NA,Female,Student,None,NA
4,Salisbury Lane,Katherine,Shaw,2,Daughter,NA,Female,Child,None,NA
4,Salisbury Lane,Dale,Miller,28,Lodger,Single,Male,"Accountant, chartered",None,None
5,Salisbury Lane,Yvonne,Connolly,42,Head,Single,Female,Wellsite geologist,None,Catholic
5,Salisbury Lane,Brenda,Connolly,1,Daughter,NA,Female,Child,None,NA
6,Salisbury Lane,Olivia,Pickering,51,Head,Married,Female,"Development worker, community",None,None
6,Salisbury Lane,Nicholas,Pickering,50,Husband,Married,Male,Special educational needs teacher,None,None
7,Salisbury Lane,Benjamin,Jones,47,Head,Divorced,Male,Nutritional therapist,None,Methodist
7,Salisbury Lane,Stewart,Jones,22,Son,Divorced,Male,Social worker,None,None
7,Salisbury Lane,Ellie,Jones,20,Daughter,Divorced,Female,University Student,None,None
8,Salisbury Lane,Tom,Elliott,18,Head,Single,Male,University Student,None,None
8,Salisbury Lane,Antony,Marshall,18,None,Single,Male,University Student,None,Christian
9,Salisbury Lane,Susan,Cox,58,Head,Single,Female,Unemployed,None,None
9,Salisbury Lane,Roy,Cox,41,Son,Single,Male,"Engineer, production",None,None
10,Salisbury Lane,Carly,Jones,48,Head,Divorced,Female,Unemployed,None,None
10,Salisbury Lane,Lynn,Jones,17,Daughter,NA,Female,Student,None,NA
11,Salisbury Lane,Marion,Faulkner,42,Head,Married,Female,Museum education officer,None,Catholic
11,Salisbury Lane,Terry,Faulkner,43,Husband,Married,Male,"Editor, commissioning",None,Catholic
11,Salisbury Lane,Timothy,Faulkner,7,Son,NA,Male,Student,None,NA
11,Salisbury Lane,Chloe,Faulkner,5,Daughter,NA,Female,Student,None,NA
11,Salisbury Lane,Thomas,Faulkner,0,Son,NA,Male,Child,None,NA
12,Salisbury Lane,Joel,Wilson,77,Head,Married,Male,Retired Acupuncturist,None,None
12,Salisbury Lane,Charlotte,Wilson,85,Wife,Married,Female,Retired Music therapist,None,None
13,Salisbury Lane,Amber,Price,72,Head,Divorced,Female,Retired Sales promotion account executive,None,Christian
14,Salisbury Lane,Catherine,Douglas,41,Head,Single,Female,Amenity horticulturist,None,Catholic
14,Salisbury Lane,Henry,Thomas,47,Partner,Single,Male,Barrister,None,Catholic
14,Salisbury Lane,Barry,Douglas,10,Son,NA,Male,Student,None,NA
14,Salisbury Lane,Ross,Douglas,6,Son,NA,Male,Student,None,NA
14,Salisbury Lane,Bruce,Douglas,3,Son,NA,Male,Child,None,NA
15,Salisbury Lane,Jayne,Clarke,63,Head,Married,Female,Music therapist,None,None
15,Salisbury Lane,Colin,Clarke,65,Husband,Married,Male,Textile designer,None,None
15,Salisbury Lane,Valerie,Clarke,40,Daughter,Single,Female,Call centre manager,None,None
15,Salisbury Lane,Martin,Clarke,36,Son,Single,Male,Games developer,None,None
15,Salisbury Lane,David,Clarke,35,Son,Divorced,Male,"Therapist, sports",None,None
16,Salisbury Lane,Sylvia,Matthews-Scott,43,Head,Married,Female,"Librarian, public",None,Christian
16,Salisbury Lane,Owen,Matthews-Scott,46,Husband,Married,Male,Midwife,None,None
16,Salisbury Lane,Allan,Matthews-Scott,9,Son,NA,Male,Student,None,NA
16,Salisbury Lane,Geoffrey,Matthews-Scott,7,Son,NA,Male,Student,None,NA
16,Salisbury Lane,Arthur,Goodwin-Matthews-Scott,4,Son,NA,Male,Child,None,NA
16,Salisbury Lane,Deborah,Goodwin-Matthews-Scott,4,Daughter,NA,Female,Child,None,NA
17,Salisbury Lane,Shane,Baxter,23,Head,Single,Male,"Editor, film/video",None,None
17,Salisbury Lane,Rosemary,Walker,20,Partner,Single,Female,University Student,Blind,None
18,Salisbury Lane,Jill,Day,51,Head,Married,Female,Physiotherapist,None,Christian
18,Salisbury Lane,Leslie,Day,53,Husband,Married,Male,Field trials officer,None,Christian
19,Salisbury Lane,Ruth,Bennett,54,Head,Married,Female,Charity fundraiser,None,Catholic
19,Salisbury Lane,Billy,Bennett,50,Husband,Married,Male,"Pilot, airline",None,None
19,Salisbury Lane,Joe,Bennett,20,Grandson,Widowed,Male,Communications engineer,None,Catholic
19,Salisbury Lane,Gerald,Bennett,16,Grandson,NA,Male,Student,None,NA
20,Salisbury Lane,Grace,Ahmed,32,Head,Married,Female,Site engineer,None,Methodist
20,Salisbury Lane,Gregory,Ahmed,28,Husband,Married,Male,Unemployed,None,None
20,Salisbury Lane,Joel,Ahmed,7,Son,NA,Male,Student,None,NA
20,Salisbury Lane,Bruce,Ahmed,3,Son,NA,Male,Child,None,NA
20,Salisbury Lane,Claire,Jones,20,Lodger,Single,Female,University Student,None,None
21,Salisbury Lane,Eric,Thompson,39,Head,Married,Male,Television production assistant,None,Catholic
21,Salisbury Lane,Julie,Thompson,42,Wife,Married,Female,"Engineer, petroleum",None,None
21,Salisbury Lane,Francis,Thompson,20,Son,Single,Male,University Student,None,Catholic
21,Salisbury Lane,Derek,Thompson,17,Son,NA,Male,Student,None,NA
21,Salisbury Lane,Gerard,Thompson,13,Son,NA,Male,Student,None,NA
22,Salisbury Lane,Scott,Roberts,49,Head,Single,Male,Unemployed,None,Christian
23,Salisbury Lane,Mandy,Burns,74,Head,Divorced,Female,Retired Barista,None,Christian
24,Salisbury Lane,Dawn,Baxter,71,Head,Married,Female,"Retired Designer, textile",None,Christian
24,Salisbury Lane,Callum,Baxter,73,Husband,Married,Male,"Retired Civil engineer, consulting",None,Christian
24,Salisbury Lane,Katy,Baxter,37,Daughter,Single,Female,Nature conservation officer,None,Christian
25,Salisbury Lane,Debra,Williams,71,Head,Widowed,Female,Retired Freight forwarder,None,Christian
26,Salisbury Lane,Roger,Connor,64,Head,Single,Male,"Development worker, international aid",None,Christian
26,Salisbury Lane,Martin,Connor,36,Son,Single,Male,"Librarian, public",None,None
26,Salisbury Lane,Kate,Connor,34,Daughter,Single,Female,Barrister,None,None
26,Salisbury Lane,Abdul,Connor,27,Son,Single,Male,"Engineer, manufacturing systems",None,Christian
26,Salisbury Lane,Ashleigh,Connor,23,Daughter,Single,Female,Unemployed,None,Christian
27,Salisbury Lane,Yvonne,Booth,36,Head,Divorced,Female,Unemployed,None,Christian
27,Salisbury Lane,Rachel,Booth,7,Daughter,NA,Female,Student,None,NA
28,Salisbury Lane,Jane,Carter,31,Head,Single,Female,IT technical support officer,None,Christian
28,Salisbury Lane,Joshua,Carter,4,Son,NA,Male,Child,None,NA
28,Salisbury Lane,Jay,Cameron,2,Son,NA,Male,Child,None,NA
28,Salisbury Lane,Eric,Taylor,29,Lodger,Widowed,Male,"Therapist, drama",None,Bahai
28,Salisbury Lane,Frank,Coleman,52,Lodger,Divorced,Male,Information officer,None,None
29,Salisbury Lane,Louise,Hughes,34,Head,Married,Female,"Editor, commissioning",None,None
29,Salisbury Lane,Ross,Hughes,32,Husband,Married,Male,Firefighter,None,None
29,Salisbury Lane,Trevor,Hughes,5,Son,NA,Male,Student,None,NA
30,Salisbury Lane,Stephen,Price,62,Head,Widowed,Male,"Librarian, public",None,Catholic
30,Salisbury Lane,Kathryn,Bell,25,Granddaughter,Single,Female,Firefighter,None,Catholic
30,Salisbury Lane,Kyle,Harvey,21,Grandson,Single,Male,University Student,None,Catholic
30,Salisbury Lane,Jake,Ashton,19,Grandson,Single,Male,University Student,None,Catholic
30,Salisbury Lane,Christopher,Lambert,16,Grandson,NA,Male,Student,None,NA
30,Salisbury Lane,Michael,Lambert,14,Grandson,NA,Male,Student,None,NA
31,Salisbury Lane,Carly,Russell,60,Head,Married,Female,Phytotherapist,None,None
31,Salisbury Lane,Stanley,Russell,62,Husband,Married,Male,IT trainer,None,None
32,Salisbury Lane,Melanie,Davis,69,Head,Widowed,Female,Unemployed,None,None
32,Salisbury Lane,Sophie,Davis,40,Daughter,Widowed,Female,Diplomatic Services operational officer,None,None
33,Salisbury Lane,Henry,Hurst,89,Head,Married,Male,Retired Clinical molecular geneticist,None,Christian
33,Salisbury Lane,Joanne,Hurst,86,Wife,Married,Female,Retired Further education lecturer,None,Christian
34,Salisbury Lane,Stanley,Stevens,65,Head,Married,Male,"Psychologist, prison and probation services",None,Christian
34,Salisbury Lane,Suzanne,Stevens,64,Wife,Married,Female,Chief Technology Officer,None,Christian
35,Salisbury Lane,Leonard,Anderson,63,Head,Divorced,Male,Statistician,None,None
35,Salisbury Lane,Maurice,Sutton-Anderson,12,Grandson,NA,Male,Student,None,NA
36,Salisbury Lane,Nigel,Hall,76,Head,Married,Male,"Retired Psychologist, counselling",None,None
36,Salisbury Lane,Donna,Hall,73,Wife,Married,Female,Retired Clinical research associate,None,None
37,Salisbury Lane,Francesca,Walker,44,Head,Married,Female,"Surveyor, minerals",None,Catholic
37,Salisbury Lane,Julian,Walker,43,Husband,Married,Male,Merchant navy officer,None,Catholic
37,Salisbury Lane,Wayne,Walker,13,Son,NA,Male,Student,None,NA
38,Salisbury Lane,Christine,Roberts,30,Head,Married,Female,Unemployed,None,None
38,Salisbury Lane,Hugh,Roberts,28,Husband,Married,Male,Chief Operating Officer,None,None
39,Salisbury Lane,Leonard,Moore,29,Head,Divorced,Male,Forest/woodland manager,None,None
39,Salisbury Lane,Mary,Moore,8,Daughter,NA,Female,Student,None,NA
39,Salisbury Lane,Ann,Moore,4,Daughter,NA,Female,Child,None,NA
39,Salisbury Lane,Beth,Kirk-Moore,3,Daughter,NA,Female,Child,None,NA
39,Salisbury Lane,Claire,Sheppard,41,Lodger,Single,Female,Tree surgeon,None,Catholic
40,Salisbury Lane,William,Saunders,41,Head,Single,Male,Unemployed,None,None
40,Salisbury Lane,Linda,Evans,64,None,Single,Female,Historic buildings inspector/conservation officer,None,Catholic
41,Salisbury Lane,Stacey,Smith,31,Head,Married,Female,"Engineer, chemical",None,Methodist
